book_id,average_number_of_adjectives,total_number_of_proper_nouns,total_number_of_adjectives,average_verb_phrases,total_number_of_noun_phrases,average_words,total_number_of_prepositional_phrases,average_syllables,total_number_of_verb_phrases,total_number_of_conjunctions,average_word_length,count_number_unique_words,length_of_document,average_number_of_common_proper_nouns,total_number_of_common_and_proper_nouns,ratio_of_common_to_proper_nouns,average_number_of_proper_nouns,average_number_of_conjunctions,average_prepositional_phrases,average_noun_phrases
5805,1.2167721518987342,4066,5383,0.0024864376130198916,54.0,20.305831826401448,15.0,1.368728640922601,11.0,12725,3.9114245321875036,7023,426194,4.117766726943942,18217,3.4803246433841615,0.9190777576853526,2.876356238698011,0.0033905967450271247,0.012206148282097649
2785,1.604645535930317,4680,6632,0.0009678199854827002,61.0,23.782240503266394,17.0,1.4058112562568672,4.0,14304,4.055915028690026,8101,482243,4.88168400677474,20176,3.311111111111111,1.1323493830147593,3.460924268086136,0.004113234938301476,0.014759254778611178
1752,1.3320049049662783,6512,8690,0.011342734518700184,256.0,22.323114653586757,134.0,1.3561688044164903,74.0,20606,3.8995646680765743,8985,689898,4.476548129981606,29205,3.4847972972972974,0.9981606376456161,3.1584917228694054,0.020539546290619253,0.03923973022685469
1947,0.8180507816831134,7305,7378,0.0055438518682780795,221.0,16.640093136711386,95.0,1.379318616443559,50.0,20078,3.8942276298166942,10248,707274,3.0936910965738997,27902,2.8195756331279944,0.8099567579554274,2.226189156225746,0.010533318549728351,0.024503825257789113
1965,0.8736363636363637,7485,6727,0.004285714285714286,138.0,17.643246753246753,52.0,1.372262666264271,33.0,18836,3.9031600332712566,9527,642371,3.471038961038961,26727,2.570741482965932,0.9720779220779221,2.446233766233766,0.006753246753246753,0.017922077922077922
848,1.0422895357985837,4993,5299,0.008261211644374508,110.0,20.242328874901652,42.0,1.2847578513681592,42.0,14241,3.6242226368159205,7695,456924,4.116050354051928,20926,3.191067494492289,0.9821007081038552,2.801140833988985,0.008261211644374508,0.021636506687647522
421,1.272066458982347,3432,4900,0.0020768431983385254,26.0,25.757009345794394,10.0,1.2298721980325753,8.0,15158,3.4439707305273344,6769,422741,4.540498442367602,17490,4.096153846153846,0.8909657320872274,3.935098650051921,0.002596053997923157,0.006749740394600207
589,1.488103331067301,5166,6567,0.002266032177656923,42.0,27.227283027418988,16.0,1.2749887644189957,10.0,17308,3.6382226143116334,9536,547069,5.237026965782914,23111,3.47367402245451,1.1706322229775663,3.9220484930886017,0.0036256514842510764,0.009517335146159076
103,1.0651162790697675,5951,3893,0.019425444596443228,210.0,21.0155950752394,81.0,1.4026193823881685,71.0,10420,3.9828151851273237,6995,370967,4.756497948016416,17385,1.9213577549991598,1.6281805745554037,2.850889192886457,0.02216142270861833,0.057455540355677154
3526,1.098220640569395,5521,6172,0.036298932384341634,1183.0,20.22846975088968,381.0,1.3875743288413498,204.0,15912,3.901877133105802,8999,534148,4.145551601423487,23298,3.219887701503351,0.9823843416370107,2.8313167259786476,0.06779359430604982,0.2104982206405694
35545,1.1419679905157083,3316,3853,0.016004742145820983,157.0,21.171013633669236,51.0,1.3371925354537946,54.0,9207,3.764038022707228,6766,326715,4.399525785417902,14844,3.476477683956574,0.982809721398933,2.728808535862478,0.015115589804386485,0.046532305868405455
27525,0.9967783505154639,5063,4641,0.01331615120274914,190.0,17.075816151202748,75.0,1.3552858310798064,62.0,8765,3.7349474875793973,7304,359295,3.4342783505154637,15990,2.1582065968793205,1.087414089347079,1.8825171821305842,0.01610824742268041,0.040807560137457045
2852,0.9856078129015677,2569,3835,0.014906193780519147,129.0,17.996658956566435,53.0,1.3113316672616921,58.0,9766,3.7119742948946803,5706,319857,3.212284759701876,12499,3.865317244063838,0.6602415831405808,2.509894628630172,0.013621177075301978,0.03315343099460293
2148,1.971352269968439,1997,8120,0.037873270211216316,423.0,27.458363680504977,167.0,1.443028797269697,156.0,18650,4.016631152686537,10771,550439,5.298130614226754,21823,9.927891837756635,0.4848264141781986,4.52779800922554,0.040543821315853365,0.10269482884195193
807,1.5622641509433963,874,828,0.08490566037735849,108.0,25.730188679245284,52.0,1.404707780303586,45.0,1978,3.9857739972134634,2519,66849,5.722641509433962,3033,2.4702517162471396,1.649056603773585,3.732075471698113,0.09811320754716982,0.2037735849056604
9712,2.0,17,4,1.0,14.0,25.0,9.0,1.68,2.0,9,5.62,39,360,11.5,23,0.35294117647058826,8.5,4.5,4.5,7.0
155,0.9452542653635911,10731,11413,0.012754679476561205,450.0,19.517641212522776,224.0,1.3402968734086975,154.0,31725,3.739959941609804,9268,1074060,3.571724366407156,43125,3.018730779983226,0.8887692562531059,2.627546794765612,0.0185522610568163,0.03727016730163989
15579,2.1420105355575068,12446,19518,0.00021949078138718174,9.0,15.539288849868306,2.0,1.406443775866209,2.0,5596,4.186067206237553,13407,714987,8.015035118525022,73033,4.867989715571268,1.3658911325724319,0.6141352063213346,0.00021949078138718174,0.000987708516242318
3802,0.8738338516215015,4505,7868,0.005219902265659707,131.0,16.903265215459797,72.0,1.3664526896062341,47.0,17556,3.7686550983265112,8654,694795,2.8922701021768105,26042,4.780688124306327,0.5003331852509996,1.9498000888494003,0.007996446023989337,0.014549089293647267
